X,Y,OBJECTID,ETE_CD,ETE_NM,ETE_ACH_CD,ETE_AA_OPERACAO,ETE_DS_STATUS,ETE_DS_INTEGRADO,ETE_DS_TOTAL,ETE_DS_TIPOLOGIA,ETE_NM_CORPORECEPTOR,ETE_QT_POPPROJ,ETE_PC_REMOCAODBO,ETE_PC_REMOCAOP,ETE_PC_REMOCAON,ETE_MUN_CD_IBGE,ETE_NM_REGIAOMETROP,ETE_DS_TIPOLOGRESUMIDA
-34.878301228,-7.10543230676807,3384,2507507_ETE_1,EPC ETE Polo de Tratamento do Baixo Roger - Baixo Paraíba,75811622,0,Ativa,Sim (2507507),Não,EPC - Estação de Pré Condicionamento (Peneiramento/Gradeamento/Primário),Emissário submarino,0,0.40000001,0,0,2503209,RM João Pessoa - PB,SIM
-49.185623653,-25.4728682382667,3385,4106902_ETE_1,ETE Atuba Sul,8628941,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.89999998,0,0,4105805,RM Curitiba - PR,QBI
-51.116833902,-23.3577743953126,3386,4113700_ETE_6,ETE Sul,864231625,0,Ativa,Sim (4113700),Não,Reator Anaeróbio + Filtro Aeróbio + Decantador, ,0,0.85000002,0,0,4103701,RM Londrina - PR,RAN
-51.176055414,-23.3794724453121,3387,4113700_ETE_3,ETE Esperança,864231653,0,Ativa,Sim (4113700),Não,Reator Anaeróbio + Filtro Aeróbio + Decantador, ,0,0.85000002,0,0,4103701,RM Londrina - PR,RAN
-49.320012627,-25.4629652692669,3388,4106902_ETE_7,ETE Santa Quitéria,8628653,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.92000002,0,0,4100400,RM Curitiba - PR,QBI
-49.185659846,-25.4739027802667,3389,4106902_ETE_1,ETE Atuba Sul,8628941,0,Ativa,Sim (4106902),Não,Reator Anaeróbio + Floculação Quimicamente Assistida + Flotação, ,0,0.92000002,0,0,4100400,RM Curitiba - PR,QBI
-50.019925271,-29.7286093231869,3390,4304630_ETE_2,ETE Guarani,77995,0,Ativa,Sim (Xangri-Lá),Não,Reator Anaeróbio + Filtro Aeróbio + Floculação Quimicamente Assistida + Decantação, ,0,0.89999998,0,0,4304630,Aglomeração Urbana do Litoral Norte - Rio Grande do Sul - RS,QBI
-51.180817839,-29.8405987821851,3391,4307708_ETE_1,ETE Esteio/Sapucaia do Sul,782131,0,Ativa,Sim (Sapucaia do Sul),Não,Lodos Ativados por Batelada (SBR) + Decantação Quimicamente Assistida, ,0,0.89999998,0,0,4307708,RM Porto Alegre - RS,QBI
-45.58845227,-22.9702337743214,3392,3554805_ETE_1,ETE Taubaté/Tremembé,778957514,2010,Ativa,Sim,Não,Lodos Ativados de Tanque Profundo (DEEP SHAFT),Rio Paraíba do Sul,0,0.89999998,0,0,3554102,RM do Vale do Paraíba e Litoral Norte - SP,LAT
-46.847666327,-23.5113102553091,3393,3505708_ETE_1,ETE Barueri,866975,0,Ativa,Sim,Não,Lodos Ativados Convencional, ,0,0.88,0,0,3552809,RM São Paulo - SP,LAT
