ibge;municipio;Masculino;Feminino;Total;perc_masc;perc_feminino
251210;POMBAL;15722;17081;32803;0,479285431;0,520714569
312100;DATAS;2603;2828;5431;0,479285583;0,520714417
251270;REMIGIO;9573;10400;19973;0,479297051;0,520702949
432050;SERTAO;2502;2718;5220;0,479310345;0,520689655
290100;AMARGOSA;18037;19594;37631;0,479312269;0,520687731
270930;UNIAO DOS PALMARES;31620;34343;65963;0,479359641;0,520640359
520005;ABADIA DE GOIAS;4390;4768;9158;0,479362306;0,520637694
522005;SAO JOAO DA PARAUNA;629;683;1312;0,479420732;0,520579268
421660;SAO JOSE;121633;132072;253705;0,479426893;0,520573107
291550;ITAJUIPE;9737;10572;20309;0,479442612;0,520557388
270670;PENEDO;30687;33318;64005;0,479446918;0,520553082
210300;CAXIAS;79682;86477;166159;0,479552718;0,520447282
250680;INGA;8721;9463;18184;0,479597448;0,520402552
312600;FLORESTAL;3646;3956;7602;0,479610629;0,520389371
230320;CARIRIACU;12954;14054;27008;0,479635664;0,520364336
330412;QUATIS;6985;7577;14562;0,479673122;0,520326878
261340;SAO JOSE DA COROA GRANDE;10490;11378;21868;0,47969636;0,52030364
110015;OURO PRETO DO OESTE;17004;18441;35445;0,479729158;0,520270842
431680;SANTA CRUZ DO SUL;63461;68810;132271;0,479780148;0,520219852
412085;QUATRO PONTES;1940;2103;4043;0,479841702;0,520158298
250130;AROEIRAS;9156;9925;19081;0,479849065;0,520150935
292960;SAPEACU;8360;9061;17421;0,479880604;0,520119396
261570;TRIUNFO;7311;7921;15232;0,479976366;0,520023634
291210;IBICARAI;10120;10963;21083;0,480007589;0,519992411
430160;BAGE;58331;63187;121518;0,480019421;0,519980579
430950;GUARANI DAS MISSOES;3549;3844;7393;0,480048695;0,519951305
431127;LAGOA DOS TRES CANTOS;770;834;1604;0,480049875;0,519950125
430460;CANOAS;167899;181829;349728;0,480084523;0,519915477
354780;SANTO ANDRE;347543;376346;723889;0,480105375;0,519894625
293010;SENHOR DO BONFIM;38320;41493;79813;0,480122286;0,519877714
220330;DEMERVAL LOBAO;6656;7206;13862;0,480161593;0,519838407
250370;CAJAZEIRAS;30048;32528;62576;0,480184096;0,519815904
430540;CHIAPETTA;1769;1915;3684;0,480184582;0,519815418
292595;RAFAEL JAMBEIRO;10874;11769;22643;0,480236718;0,519763282
500568;MUNDO NOVO;8922;9656;18578;0,480245452;0,519754548
292510;POCOES;22518;24367;46885;0,48028154;0,51971846
430300;CACHOEIRA DO SUL;39168;42384;81552;0,480282519;0,519717481
412430;SANTO ANTONIO DO PARAISO;976;1056;2032;0,480314961;0,519685039
250970;MONTEIRO;16157;17481;33638;0,480319876;0,519680124
330280;MENDES;8973;9708;18681;0,480327606;0,519672394
330370;PARAIBA DO SUL;21492;23249;44741;0,480364766;0,519635234
292950;SAO SEBASTIAO DO PASSE;21404;23150;44554;0,4804058;0,5195942
250090;ARARA;6540;7073;13613;0,480423125;0,519576875
150503;NOVO PROGRESSO;12382;13387;25769;0,480499825;0,519500175
411915;PINHAIS;64767;70021;134788;0,480510134;0,519489866
280160;CEDRO DE SAO JOAO;2849;3080;5929;0,480519481;0,519480519
330020;ARARUAMA;65404;70705;136109;0,480526637;0,519473363
292430;PIATA;8099;8755;16854;0,480538745;0,519461255
351840;GUARATINGUETA;59200;63992;123192;0,480550685;0,519449315
313170;ITABIRA;58492;63225;121717;0,480557358;0,519442642
220100;ARRAIAL;2265;2448;4713;0,480585614;0,519414386
530010;BRASILIA;1487195;1607130;3094325;0,480620168;0,519379832
260640;GRAVATA;41007;44302;85309;0,480687852;0,519312148
260845;LAGOA DO CARRO;8859;9570;18429;0,480709751;0,519290249
290820;CONCEICAO DA FEIRA;11026;11907;22933;0,480791872;0,519208128
353980;POA;57328;61893;119221;0,480854883;0,519145117
330610;VALENCA;37125;40077;77202;0,480881324;0,519118676
316860;TEOFILO OTONI;67939;73330;141269;0,480919381;0,519080619
431507;PORTO VERA CRUZ;605;653;1258;0,480922099;0,519077901
351380;DIADEMA;206612;222938;429550;0,480996392;0,519003608
260030;AGRESTINA;12141;13099;25240;0,481022187;0,518977813
231400;VARZEA ALEGRE;19760;21318;41078;0,481036078;0,518963922
293220;UBAITABA;8970;9677;18647;0,481042527;0,518957473
230060;ALTANEIRA;3710;4002;7712;0,481068465;0,518931535
314480;NOVA LIMA;46847;50531;97378;0,481084023;0,518915977
292750;SANTA BARBARA;10089;10882;20971;0,481092938;0,518907062
251392;SAO BENTINHO;2214;2388;4602;0,481095176;0,518904824
430870;GAURAMA;2621;2826;5447;0,481182302;0,518817698
250940;MOGEIRO;6370;6868;13238;0,481190512;0,518809488
240110;AREIA BRANCA;13549;14607;28156;0,48121182;0,51878818
411150;IVAIPORA;15345;16541;31886;0,481245688;0,518754312
261390;SERRA TALHADA;42094;45373;87467;0,481255788;0,518744212
315860;SANTANA DO DESERTO;1918;2067;3985;0,481304893;0,518695107
292930;SAO GONCALO DOS CAMPOS;18442;19873;38315;0,481325851;0,518674149
211220;TIMON;82463;88854;171317;0,481347444;0,518652556
315780;SANTA LUZIA;106731;114974;221705;0,481409982;0,518590018
230690;JAGUARIBE;16653;17939;34592;0,481411887;0,518588113
230210;BATURITE;17393;18734;36127;0,481440474;0,518559526
241250;SAO MIGUEL;11453;12336;23789;0,481441002;0,518558998
220460;HUGO NAPOLEAO;1868;2012;3880;0,481443299;0,518556701
412065;QUARTO CENTENARIO;2128;2292;4420;0,481447964;0,518552036
270520;MESSIAS;8763;9438;18201;0,481457063;0,518542937
420540;FLORIANOPOLIS;248697;267827;516524;0,481481983;0,518518017
430310;CACHOEIRINHA;63626;68518;132144;0,48148989;0,51851011
431740;SANTIAGO;23737;25561;49298;0,481500264;0,518499736
211050;SAO BENTO;22144;23845;45989;0,481506447;0,518493553
320240;GUARAPARI;61878;66626;128504;0,481525867;0,518474133
