codigo_municipio_ibge,municipio,mes_referencia,valor_medio_recebido_familia
270230,CORURIPE,06/2022,19803
270230,CORURIPE,08/2022,60482
270230,CORURIPE,05/2022,20300
270230,CORURIPE,12/2022,60426
270230,CORURIPE,10/2022,60628
270230,CORURIPE,09/2022,60470
270235,CRAÍBAS,10/2022,61974
270235,CRAÍBAS,09/2022,61934
270235,CRAÍBAS,12/2022,61994
270235,CRAÍBAS,02/2022,29666
270235,CRAÍBAS,01/2022,28213
270235,CRAÍBAS,11/2022,61922
270235,CRAÍBAS,04/2022,29668
270235,CRAÍBAS,08/2022,61996
270235,CRAÍBAS,07/2022,42074
270235,CRAÍBAS,03/2022,29655
270235,CRAÍBAS,05/2022,29356
270235,CRAÍBAS,06/2022,28807
270240,DELMIRO GOUVEIA,07/2022,40948
270240,DELMIRO GOUVEIA,08/2022,60866
270240,DELMIRO GOUVEIA,06/2022,22146
270240,DELMIRO GOUVEIA,01/2022,21965
270240,DELMIRO GOUVEIA,05/2022,22430
270240,DELMIRO GOUVEIA,09/2022,60837
270240,DELMIRO GOUVEIA,02/2022,22604
270240,DELMIRO GOUVEIA,12/2022,60986
270240,DELMIRO GOUVEIA,10/2022,60891
270240,DELMIRO GOUVEIA,03/2022,22320
270240,DELMIRO GOUVEIA,11/2022,61098
270240,DELMIRO GOUVEIA,04/2022,22329
270250,DOIS RIACHOS,04/2022,18216
270250,DOIS RIACHOS,11/2022,60242
270250,DOIS RIACHOS,07/2022,40272
270250,DOIS RIACHOS,03/2022,18180
270250,DOIS RIACHOS,05/2022,17762
270250,DOIS RIACHOS,06/2022,17321
270250,DOIS RIACHOS,01/2022,17776
270250,DOIS RIACHOS,08/2022,60245
270250,DOIS RIACHOS,02/2022,18454
270250,DOIS RIACHOS,10/2022,60270
270250,DOIS RIACHOS,12/2022,60248
270250,DOIS RIACHOS,09/2022,60240
270255,ESTRELA DE ALAGOAS,02/2022,26737
270255,ESTRELA DE ALAGOAS,10/2022,61299
270255,ESTRELA DE ALAGOAS,12/2022,61218
270255,ESTRELA DE ALAGOAS,09/2022,61275
270255,ESTRELA DE ALAGOAS,04/2022,26413
270255,ESTRELA DE ALAGOAS,01/2022,25561
270255,ESTRELA DE ALAGOAS,11/2022,61236
270255,ESTRELA DE ALAGOAS,03/2022,26487
270255,ESTRELA DE ALAGOAS,07/2022,41387
270255,ESTRELA DE ALAGOAS,05/2022,26180
270255,ESTRELA DE ALAGOAS,06/2022,25835
270255,ESTRELA DE ALAGOAS,08/2022,61323
270260,FEIRA GRANDE,07/2022,40791
270260,FEIRA GRANDE,03/2022,24937
270260,FEIRA GRANDE,08/2022,60779
270260,FEIRA GRANDE,01/2022,23480
270260,FEIRA GRANDE,05/2022,24727
270260,FEIRA GRANDE,12/2022,60701
270260,FEIRA GRANDE,02/2022,24826
270260,FEIRA GRANDE,09/2022,60762
270260,FEIRA GRANDE,10/2022,60776
270260,FEIRA GRANDE,04/2022,24924
270260,FEIRA GRANDE,11/2022,60721
270260,FEIRA GRANDE,06/2022,24291
270270,FELIZ DESERTO,06/2022,18695
270270,FELIZ DESERTO,11/2022,60200
270270,FELIZ DESERTO,04/2022,19102
270270,FELIZ DESERTO,07/2022,40222
270270,FELIZ DESERTO,08/2022,60193
270270,FELIZ DESERTO,05/2022,19182
270270,FELIZ DESERTO,03/2022,19257
270270,FELIZ DESERTO,01/2022,18364
270270,FELIZ DESERTO,02/2022,19502
270270,FELIZ DESERTO,12/2022,60175
270270,FELIZ DESERTO,09/2022,60164
270270,FELIZ DESERTO,10/2022,64620
270280,FLEXEIRAS,10/2022,60937
270280,FLEXEIRAS,12/2022,60864
270280,FLEXEIRAS,02/2022,21527
270280,FLEXEIRAS,09/2022,60909
270280,FLEXEIRAS,11/2022,60871
270280,FLEXEIRAS,04/2022,21672
270280,FLEXEIRAS,06/2022,20740
270280,FLEXEIRAS,03/2022,21530
270280,FLEXEIRAS,01/2022,20835
270280,FLEXEIRAS,07/2022,40973
270280,FLEXEIRAS,08/2022,60934
270280,FLEXEIRAS,05/2022,21391
270290,GIRAU DO PONCIANO,05/2022,31246
270290,GIRAU DO PONCIANO,08/2022,62519
270290,GIRAU DO PONCIANO,03/2022,31554
270290,GIRAU DO PONCIANO,07/2022,42595
270290,GIRAU DO PONCIANO,12/2022,62548
270290,GIRAU DO PONCIANO,09/2022,62508
270290,GIRAU DO PONCIANO,02/2022,31735
270290,GIRAU DO PONCIANO,10/2022,62518
