CO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,media_notas_CN,media_notas_CH,media_NU_NOTA_LC,media_NU_NOTA_MT,media_NU_NOTA_REDACAO
130230,13,AM,427.4,437.059649122807,425.054385964912,450.904651162791,371.228070175439
130240,13,AM,434.81,446.885271317829,429.841085271318,451.994,409.147286821705
130250,13,AM,437.771212121212,448.686507936508,437.16455026455,459.309393939394,467.671957671958
130255,13,AM,425.308,437.793650793651,413.688888888889,452.568,442.222222222222
130260,13,AM,462.313085063085,484.47863862756,475.377679394946,497.089234839235,535.650249031544
130270,13,AM,448.116176470588,462.04,441.614666666667,458.442647058824,456.533333333333
130280,13,AM,421.361538461539,425.418867924528,408.928301886792,439.9,385.283018867925
130290,13,AM,442.555633802817,472.050326797386,453.711111111111,464.818309859155,524.052287581699
130300,13,AM,427.604132231405,446.313432835821,420.488059701493,448.411570247934,434.477611940299
130310,13,AM,417.427678571429,423.937037037037,402.737037037037,434.74375,408.592592592593
130320,13,AM,431.984705882353,440.985148514852,430.70396039604,450.545882352941,494.059405940594
130330,13,AM,427.320833333333,439,424.315909090909,451.101388888889,410.454545454545
130340,13,AM,445.468994889268,460.457480314961,441.566456692913,465.901022146508,475.40157480315
130350,13,AM,420.263461538462,434.502898550725,408.640579710145,434.023076923077,353.333333333333
130353,13,AM,444.999099099099,457.750769230769,449.161538461538,474.150450450451,480.461538461539
130356,13,AM,433.036585365854,442.307777777778,417.816666666667,456.629268292683,468.444444444445
130360,13,AM,425.365217391304,441.730555555556,418.209722222222,423.44347826087,377.222222222222
130370,13,AM,419.112987012987,434.4,417.372289156627,438.896103896104,457.349397590362
130380,13,AM,430.555555555556,458.819672131148,435.30737704918,450.767592592593,456.393442622951
130390,13,AM,428.441353383459,446.497183098592,426.752816901408,441.730827067669,439.43661971831
130395,13,AM,415.268,412.085106382979,422.51914893617,428.882,379.148936170213
130400,13,AM,411.42,411.828395061728,390.258024691358,446.315714285714,301.234567901235
130406,13,AM,434.455434782609,450.704265402844,440.451658767773,454.708695652174,457.251184834123
130410,13,AM,416.542857142857,434.079166666667,406.645833333333,449.285714285714,442.5
130420,13,AM,438.50157480315,454.746830985916,440.853169014085,469.810236220472,490.633802816902
130423,13,AM,407.811764705882,423.405172413793,407.268965517241,429.343137254902,357.241379310345
130426,13,AM,398.625,438.868421052632,413.473684210526,438.5375,343.157894736842
130430,13,AM,420.918181818182,443.460606060606,408.756060606061,433.134545454545,427.272727272727
130440,13,AM,430.236065573771,438.84125,421.22125,436.593442622951,432.25
140002,14,RR,501.96,504.96,515.34,453.58,496
140005,14,RR,416.4875,469.85,454,428.69375,424.444444444444
140010,14,RR,482.463263445761,506.286798964625,494.546850733391,513.513947128532,566.747195858499
140015,14,RR,437.9,441.7375,411.05,506.357142857143,477.5
140017,14,RR,440.5,493.65,465.2,507.15,563.333333333333
140020,14,RR,464.785,471.057142857143,466.890476190476,467.85,528.571428571429
140023,14,RR,442.716666666667,476.3,457.583333333333,491.45,620
140028,14,RR,473.94,498.98,470.82,467.7,532
140030,14,RR,432.933333333333,439.055555555556,415.233333333333,436.811111111111,564.444444444445
140040,14,RR,433.333333333333,420.666666666667,450.4,445.133333333333,480
140045,14,RR,447.645454545455,466.363636363636,446.227272727273,484.681818181818,481.818181818182
140047,14,RR,438.961904761905,458.254545454545,460.163636363636,440.2,510
140050,14,RR,411.875,471.5875,437.5375,442.8125,522.5
140060,14,RR,388.7,474.2,472.133333333333,531.433333333333,553.333333333333
140070,14,RR,,,,,
150010,15,PA,469.121024734982,485.055802047782,464.678839590444,491.293286219081,604.539249146758
150013,15,PA,457.1,462.9,463.9,485.725,600
150020,15,PA,446.327272727273,468.257352941177,445.363235294118,467.345454545455,530.588235294118
150030,15,PA,431.013636363636,446.091304347826,432.560869565217,471.322727272727,557.391304347826
150034,15,PA,424.641176470588,468.458823529412,435.594117647059,478.782352941177,538.823529411765
150040,15,PA,434.053125,450.084158415842,435.180198019802,463.66875,531.485148514852
150050,15,PA,446,459.618518518519,451.290740740741,472.277358490566,499.62962962963
150060,15,PA,468.25,499.242716049383,477.895308641975,508.463333333333,614.716049382716
150070,15,PA,438.794594594595,452.667441860465,441.579069767442,455.194594594595,460
150080,15,PA,475.386028169014,506.074296536797,485.164285714286,506.867323943662,619.78354978355
150085,15,PA,439.625806451613,449.074285714286,434.188571428571,465.18064516129,478.285714285714
150090,15,PA,449.739215686275,453.194117647059,429.592156862745,443.711764705882,546.666666666667
150095,15,PA,436.2,447.096666666667,433.866666666667,446.4,511.333333333333
150100,15,PA,454.65,453.585714285714,458.2,427.016666666667,542.857142857143
150110,15,PA,418.652173913044,445.483333333333,401.4,461.656521739131,516.666666666667
150120,15,PA,442.209090909091,458.942857142857,421.497142857143,467.643939393939,515.714285714286
150125,15,PA,,405.1,324.5,,0
150130,15,PA,460.00407239819,482.148034934498,461.493449781659,489.632126696833,559.737991266376
150140,15,PA,490.264387419809,521.551985505058,498.886879057829,529.944108903145,659.513815491469
150145,15,PA,447.069230769231,480.553333333333,449.34,455.576923076923,558.666666666667
