codigo_municipio_ibge,pib_per_capita_preco_corrente,atividade_maior_valor_ad_bruto
171500,20409.92,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171510,15981.8,"Administração, defesa, educação e saúde públicas e seguridade social"
171515,13403.02,"Administração, defesa, educação e saúde públicas e seguridade social"
171525,13435.71,"Administração, defesa, educação e saúde públicas e seguridade social"
171550,21258.45,"Administração, defesa, educação e saúde públicas e seguridade social"
171570,17057.03,"Administração, defesa, educação e saúde públicas e seguridade social"
171575,18358.73,"Administração, defesa, educação e saúde públicas e seguridade social"
171610,27964.08,Demais serviços
171620,32223.69,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
171630,16751.04,"Administração, defesa, educação e saúde públicas e seguridade social"
171650,46071.77,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171660,57408.76,"Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação"
171665,16717.53,"Administração, defesa, educação e saúde públicas e seguridade social"
171670,20645.59,"Administração, defesa, educação e saúde públicas e seguridade social"
171700,14187.22,"Administração, defesa, educação e saúde públicas e seguridade social"
171720,22807.48,"Administração, defesa, educação e saúde públicas e seguridade social"
171750,40548.68,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171780,12854.92,"Administração, defesa, educação e saúde públicas e seguridade social"
171790,12444.99,"Administração, defesa, educação e saúde públicas e seguridade social"
171800,12570.97,"Administração, defesa, educação e saúde públicas e seguridade social"
171820,49193.72,Comércio e reparação de veículos automotores e motocicletas
171830,9884.18,"Administração, defesa, educação e saúde públicas e seguridade social"
171840,15791.38,"Administração, defesa, educação e saúde públicas e seguridade social"
171845,30121.65,"Administração, defesa, educação e saúde públicas e seguridade social"
171850,12160.21,"Administração, defesa, educação e saúde públicas e seguridade social"
171855,12012.34,"Administração, defesa, educação e saúde públicas e seguridade social"
171865,11772.36,"Administração, defesa, educação e saúde públicas e seguridade social"
171870,22200.16,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171875,13576.69,"Administração, defesa, educação e saúde públicas e seguridade social"
171880,17777.41,"Administração, defesa, educação e saúde públicas e seguridade social"
171884,28524.2,"Pecuária, inclusive apoio à pecuária"
171886,19550.71,"Administração, defesa, educação e saúde públicas e seguridade social"
171888,32626.07,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171889,56535.71,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171890,44628.2,"Agricultura, inclusive apoio à agricultura e a pós colheita"
171900,13164.82,"Administração, defesa, educação e saúde públicas e seguridade social"
