CO_MUNICIPIO,qtd_cursos_agro,qtd_cursos_artes,qtd_cursos_cn,qtd_cursos_cs,qtd_cursos_tic,qtd_cursos_educ,qtd_cursos_engenharias,qtd_cursos_negocios_direito,qtd_cursos_programas_basicos,qtd_cursos_saude,qtd_cursos_servicos,IES_privadas,IES_publicas
315580,32,0,0,0,13,52,15,25,0,6,0,,
315600,0,1,0,0,0,0,0,5,0,0,0,,
315645,0,0,0,0,0,0,0,0,0,0,0,,
315660,0,0,0,0,0,0,0,0,0,0,0,,
315670,0,2,0,1,9,53,1,100,0,0,3,2,0
315680,0,0,0,0,0,0,0,0,0,0,0,,
315690,0,0,0,1,1,10,1,10,0,0,0,,
315700,41,1,0,43,5,171,28,45,0,20,4,,
315720,0,1,0,0,4,25,0,19,0,6,5,,
315725,0,0,0,0,1,127,0,22,0,4,1,,
315770,0,0,0,0,0,1,1,9,0,1,0,,
315780,0,14,0,3,20,255,18,230,0,31,19,1,0
315790,0,0,0,0,0,0,0,0,0,0,0,,
315820,0,2,0,0,0,5,0,3,0,0,0,,
315830,0,0,0,0,0,0,0,0,0,0,0,,
